final_price,bathrooms,sqft,parking,type,lat,long,city_district,bedrooms_ag,bedrooms_bg
580000,1,650,0,Condo Apt,43.6406456,-79.380939,Waterfront Communities-The Island,1,0
715000,2,,5,Semi-Detached,43.7423346,-79.5386758,Humbermede,3,2
545000,3,1300,1,Condo Townhouse,43.7428606,-79.6001328,West Humber-Clairville,3,2
1400000,3,,4,Detached,43.778941,-79.3899116,Bayview Village,3,1
395000,2,1100,1,Condo Apt,43.7590096,-79.5885685,Mount Olive-Silverstone-Jamestown,2,1
1600100,3,,2,Detached,43.7022545,-79.3961571,Mount Pleasant West,4,0
760000,1,750,1,Condo Apt,43.6432542,-79.3924143,Waterfront Communities-The Island,2,0
1050000,3,,2,Semi-Detached,43.6740267,-79.4321103,Wychwood,3,0
828000,3,,3,Detached,43.7588775,-79.2804159,Dorset Park,3,3
510000,1,550,0,Condo Apt,43.6511492,-79.3679837,Moss Park,1,0
630000,2,,2,Detached,43.6675892,-79.4926611,Rockcliffe-Smythe,2,1
680000,1,,3,Detached,43.7322195,-79.247708,Kennedy Park,3,0
785000,1,750,1,Condo Apt,43.6657528,-79.3855792,Bay Street Corridor,1,1
368000,1,650,1,Condo Apt,43.7644389,-79.2885842,Dorset Park,1,0
704000,3,,1,Detached,43.6882051,-79.468869,Keelesdale-Eglinton West,2,0
901000,2,,1,Att/Row/Twnhouse,43.6738501,-79.4258779,Wychwood,3,0
4690000,6,,10,Detached,43.7538599,-79.3864851,St.Andrew-Windfields,5,0
535000,1,750,1,Condo Apt,43.6362926,-79.4704628,High Park-Swansea,1,1
408000,1,250,0,Condo Apt,43.6417813,-79.4234261,Little Portugal,1,0
365000,1,1100,1,Condo Apt,43.798613,-79.3147261,L'Amoreaux,3,1
598000,4,1100,1,Condo Townhouse,43.7912268,-79.3610271,Don Valley Village,3,0
437000,1,750,1,Condo Apt,43.7404659,-79.4245749,Bedford Park-Nortown,1,1
589000,2,650,0,Condo Apt,43.6801738,-79.4318203,Wychwood,1,1
731000,2,,4,Semi-Detached,43.8116065,-79.3524462,Hillcrest Village,3,1
916000,3,,3,Semi-Detached,43.789378,-79.3412137,Pleasant View,3,3
1110000,3,,2,Semi-Detached,43.684862,-79.3196807,Danforth,3,1
750000,2,,3,Detached,43.7046359,-79.5057795,Weston,3,1
499900,1,550,0,Condo Apt,43.7153835,-79.4545483,Yorkdale-Glen Park,1,0
540000,1,250,0,Condo Apt,43.6419035,-79.379113,Waterfront Communities-The Island,1,0
865000,2,1300,3,Detached,43.6597958,-79.5487751,Princess-Rosethorn,3,0
2164000,5,,2,Detached,43.7925144,-79.4001203,Newtonbrook East,4,1
1215000,3,1750,1,Detached,43.6688403,-79.3185567,Greenwood-Coxwell,3,2
830000,4,,1,Detached,43.6977974,-79.4472484,Briar Hill-Belgravia,3,2
340000,2,1100,1,Condo Apt,43.6952016,-79.5567,Kingsview Village-The Westway,3,0
900000,4,,2,Detached,43.7930194,-79.2116515,Morningside,3,1
790000,5,1750,4,Semi-Detached,43.745088,-79.5589172,Humbermede,4,3
